ncircles,bradius,tradius,ID,MT,IDMT,IDsquare,MTsquare,Throughput
20,223,20,3.602884409,1.3879,5.000443271,12.98077606,1.92626641,2.595925073
20,223,27,3.210896782,1.5839,5.085739414,10.30985815,2.50873921,2.027209282
20,216,20,3.560714954,1.3164,4.687325166,12.67869099,1.73290896,2.704888297
20,216,27,3.169925001,1.2292,3.896471812,10.04842451,1.51093264,2.5788521
20,170,20,3.247927513,1.3346,4.334684059,10.54903313,1.78115716,2.433633683
20,170,27,2.867164317,1.3572,3.891315411,8.220631222,1.84199184,2.112558442
20,223,20,3.602884409,1.5072,5.430267381,12.98077606,2.27165184,2.390448785
20,223,27,3.210896782,1.2396,3.980227652,10.30985815,1.53660816,2.59026846
20,216,20,3.560714954,1.4015,4.990342009,12.67869099,1.96420225,2.540645704
20,216,27,3.169925001,1.1865,3.761116014,10.04842451,1.40778225,2.671660347
20,170,20,3.247927513,1.0322,3.352510779,10.54903313,1.06543684,3.146606775
20,170,27,2.867164317,1.2789,3.666816445,8.220631222,1.63558521,2.241898755
20,223,20,3.602884409,1.3278,4.783909918,12.98077606,1.76305284,2.713424016
20,223,27,3.210896782,1.2713,4.08201308,10.30985815,1.61620369,2.525679841
20,216,20,3.560714954,1.3851,4.931946283,12.67869099,1.91850201,2.570727712
20,216,27,3.169925001,1.2404,3.931974972,10.04842451,1.53859216,2.555566754
20,170,20,3.247927513,1.3351,4.336308023,10.54903313,1.78249201,2.432722278
20,170,27,2.867164317,1.106,3.171083735,8.220631222,1.223236,2.5923728
20,223,20,3.602884409,1.1597,4.178265049,12.98077606,1.34490409,3.106738302
20,223,27,3.210896782,1.2319,3.955503746,10.30985815,1.51757761,2.606458952
20,216,20,3.560714954,1.5032,5.35246672,12.67869099,2.25961024,2.368756622
20,216,27,3.169925001,1.2766,4.046726257,10.04842451,1.62970756,2.483099641
20,170,20,3.247927513,1.3131,4.264853618,10.54903313,1.72423161,2.473480705
20,170,27,2.867164317,1.3138,3.76688048,8.220631222,1.72607044,2.182344586
20,223,20,3.602884409,1.2486,4.498561473,12.98077606,1.55900196,2.885539331
20,223,27,3.210896782,1.1406,3.66234887,10.30985815,1.30096836,2.815094496
20,216,20,3.560714954,1.4614,5.203628834,12.67869099,2.13568996,2.43650948
20,216,27,3.169925001,1.3847,4.389395149,10.04842451,1.91739409,2.28925038
20,170,20,3.247927513,1.2552,4.076798615,10.54903313,1.57552704,2.587577688
20,170,27,2.867164317,1.1837,3.393862402,8.220631222,1.40114569,2.422205219
20,223,20,3.602884409,1.8221,6.564815681,12.98077606,3.32004841,1.977325289
20,223,27,3.210896782,1.359,4.363608727,10.30985815,1.846881,2.362690789
20,216,20,3.560714954,1.4711,5.23816777,12.67869099,2.16413521,2.420443855
20,216,27,3.169925001,1.6529,5.239569035,10.04842451,2.73207841,1.917795996
20,170,20,3.247927513,1.7899,5.813465456,10.54903313,3.20374201,1.814586018
20,170,27,2.867164317,1.6825,4.824003964,8.220631222,2.83080625,1.70410955
20,223,20,3.602884409,1.6369,5.897561489,12.98077606,2.67944161,2.201041242
20,223,27,3.210896782,1.3871,4.453834927,10.30985815,1.92404641,2.314827181
20,216,20,3.560714954,1.536,5.46925817,12.67869099,2.359296,2.318173798
20,216,27,3.169925001,1.7223,5.45956183,10.04842451,2.96631729,1.840518494
20,170,20,3.247927513,1.5825,5.13984529,10.54903313,2.50430625,2.052402852
20,170,27,2.867164317,1.2973,3.719572269,8.220631222,1.68298729,2.210101224
20,223,20,3.602884409,1.886,6.795039995,12.98077606,3.556996,1.910331076
20,223,27,3.210896782,1.3039,4.186688315,10.30985815,1.70015521,2.462533003
20,216,20,3.560714954,1.8079,6.437416566,12.67869099,3.26850241,1.969530922
20,216,27,3.169925001,1.3577,4.303807174,10.04842451,1.84334929,2.334775725
20,170,20,3.247927513,1.3376,4.344427842,10.54903313,1.78917376,2.428175474
20,170,27,2.867164317,1.3626,3.906798099,8.220631222,1.85667876,2.104186348
20,223,20,3.602884409,1.4464,5.211212009,12.98077606,2.09207296,2.490932252
20,223,27,3.210896782,1.3887,4.458972362,10.30985815,1.92848769,2.312160137
20,216,20,3.560714954,1.3209,4.703348383,12.67869099,1.74477681,2.69567337
20,216,27,3.169925001,1.4295,4.53140779,10.04842451,2.04347025,2.217506122
20,170,20,3.247927513,1.4055,4.56496212,10.54903313,1.97543025,2.310869807
20,170,27,2.867164317,1.4506,4.159108559,8.220631222,2.10424036,1.976536824
20,223,20,3.602884409,1.3846,4.988553752,12.98077606,1.91711716,2.602112096
20,223,27,3.210896782,1.2282,3.943623428,10.30985815,1.50847524,2.61431101
20,216,20,3.560714954,1.5663,5.577147833,12.67869099,2.45329569,2.273328835
20,216,27,3.169925001,1.2926,4.097445057,10.04842451,1.67081476,2.452363455
20,170,20,3.247927513,1.4024,4.554893545,10.54903313,1.96672576,2.315977976
20,170,27,2.867164317,1.4115,4.047002434,8.220631222,1.99233225,2.031288925
